id_jugador,nombre_completo
1,Arron Afflalo
2,Nikola Vučević
3,Jameer Nelson
4,Jason Maxiell
5,Maurice Harkless
6,E'Twaun Moore
7,Victor Oladipo
8,Andrew Nicholson
9,Kyle O'Quinn
10,Ronnie Price
11,Solomon Jones
12,Tobias Harris
13,Doron Lamb
14,Paul George
15,Lance Stephenson
16,David West
17,George Hill
18,Roy Hibbert
19,Luis Scola
20,C.J. Watson
21,Ian Mahinmi
22,Orlando Johnson
23,Solomon Hill
24,Rasual Butler
25,Chris Copeland
26,Donald Sloan
27,Derrick Rose
28,Carlos Boozer
29,Jimmy Butler
30,Luol Deng
31,Joakim Noah
32,Kirk Hinrich
33,Taj Gibson
34,Mike Dunleavy
35,Tony Snell
36,Nazr Mohammed
37,Mike James
38,Erik Murphy
39,Marquis Teague
40,LeBron James
41,Dwyane Wade
42,Chris Bosh
43,Mario Chalmers
44,Udonis Haslem
45,Ray Allen
46,Shane Battier
47,Norris Cole
48,Chris Andersen
49,Joel Anthony
50,Michael Beasley
51,James Jones
52,Rashard Lewis
53,Blake Griffin
54,Chris Paul
55,DeAndre Jordan
56,J.J. Redick
57,Jared Dudley
58,Matt Barnes
59,Jamal Crawford
60,Darren Collison
61,Ryan Hollins
62,Reggie Bullock
63,Willie Green
64,Antawn Jamison
65,Byron Mullens
66,Pau Gasol
67,Steve Blake
68,Nick Young
69,Steve Nash
70,Shawne Williams
71,Jordan Farmar
72,Xavier Henry
73,Jodie Meeks
74,Wesley Johnson
75,Chris Kaman
76,Jordan Hill
77,Ryan Kelly
78,Robert Sacre
79,Joe Johnson
80,Brook Lopez
81,Paul Pierce
82,Kevin Garnett
83,Deron Williams
84,Alan Anderson
85,Andray Blatche
86,Jason Terry
87,Reggie Evans
88,Shaun Livingston
89,Mason Plumlee
90,Tyshawn Taylor
91,Mirza Teletović
92,Tristan Thompson
93,Anderson Varejão
94,Kyrie Irving
95,Dion Waiters
96,Earl Clark
97,Jarrett Jack
98,Alonzo Gee
99,C.J. Miles
100,Anthony Bennett
101,Andrew Bynum
102,Tyler Zeller
103,Matthew Dellavedova
104,Henry Sims
105,Gerald Wallace
106,Jeff Green
107,Brandon Bass
108,Avery Bradley
109,Vítor Luiz Faverani
110,Kris Humphries
111,Jordan Crawford
112,Kelly Olynyk
113,Courtney Lee
114,Phil Pressey
115,Keith Bogans
116,MarShon Brooks
117,Jared Sullinger
118,DeMar DeRozan
119,Kyle Lowry
120,Rudy Gay
121,Jonas Valančiūnas
122,Amir Johnson
123,Tyler Hansbrough
124,Landry Fields
125,D.J. Augustin
126,Terrence Ross
127,Steve Novak
128,Dwight Buycks
129,Austin Daye
130,Julyan Stone
131,Roger Mason
132,Evan Turner
133,Michael Carter-Williams
134,James Anderson
135,Thaddeus Young
136,Spencer Hawes
137,Tony Wroten
138,Lavoy Allen
139,Daniel Orton
140,Darius Morris
141,Kwame Brown
142,Brandon Davies
143,Hollis Thompson
144,John Wall
145,Bradley Beal
146,Trevor Ariza
147,Nenê
148,Trevor Booker
149,Martell Webster
150,Al Harrington
151,Marcin Gortat
152,Eric Maynor
153,Garrett Temple
154,Kevin Séraphin
155,Glen Rice Jr.
156,Jan Veselý
157,Greg Monroe
158,Josh Smith
159,Will Bynum
160,Chauncey Billups
161,Andre Drummond
162,Kyle Singler
163,Kentavious Caldwell-Pope
164,Jonas Jerebko
165,Gigi Datome
166,Tony Mitchell
167,Peyton Siva
168,Josh Harrellson
169,Charlie Villanueva
170,O.J. Mayo
171,Caron Butler
172,Khris Middleton
173,Larry Sanders
174,Brandon Knight
175,Zaza Pachulia
176,Gary Neal
177,Nate Wolters
178,Ersan İlyasova
179,John Henson
180,Giannis Antetokounmpo
181,Miroslav Raduljica
182,Luke Ridnour
183,Carmelo Anthony
184,Pablo Prigioni
185,Raymond Felton
186,Iman Shumpert
187,Tyson Chandler
188,Metta World Peace
189,Andrea Bargnani
190,Tim Hardaway Jr.
191,Beno Udrih
192,Kenyon Martin
193,Cole Aldrich
194,J.R. Smith
195,Amar'e Stoudemire
196,Anthony Davis
197,Jrue Holiday
198,Eric Gordon
199,Al-Farouq Aminu
200,Jason Smith
201,Tyreke Evans
202,Arinze Onuaku
203,Greg Stiemsma
204,Brian Roberts
205,Anthony Morrow
206,Lance Thomas
207,Austin Rivers
208,Jeff Withey
209,Kevin Martin
210,Kevin Love
211,Ricky Rubio
212,Corey Brewer
213,Nikola Peković
214,Dante Cunningham
215,J.J. Barea
216,Alexey Shved
217,Ronny Turiaf
218,Gorgui Dieng
219,Robbie Hummel
220,Shabazz Muhammad
221,Derrick Williams
222,Kemba Walker
223,Gerald Henderson
224,Michael Kidd-Gilchrist
225,Al Jefferson
226,Josh McRoberts
227,Jeff Taylor
228,Ramon Sessions
229,Bismack Biyombo
230,Cody Zeller
231,Anthony Tolliver
232,Jeff Adrien
233,Ben Gordon
234,Jannero Pargo
235,Chandler Parsons
236,James Harden
237,Dwight Howard
238,Ömer Aşık
239,Patrick Beverley
240,Jeremy Lin
241,Francisco García
242,Omri Casspi
243,Aaron Brooks
244,Ronnie Brewer
245,Terrence Jones
246,Donatas Motiejūnas
247,Greg Smith
248,Marc Gasol
249,Tony Allen
250,Mike Conley
251,Zach Randolph
252,Tayshaun Prince
253,Mike Miller
254,Jerryd Bayless
255,Quincy Pondexter
256,Kosta Koufos
257,Jon Leuer
258,Ed Davis
259,Nick Calathes
260,Jamaal Franklin
261,Tony Parker
262,Kawhi Leonard
263,Tiago Splitter
264,Danny Green
265,Tim Duncan
266,Manu Ginóbili
267,Boris Diaw
268,Marco Belinelli
269,Patty Mills
270,Matt Bonner
271,Jeff Ayres
272,Aron Baynes
273,Cory Joseph
274,Paul Millsap
275,Kyle Korver
276,DeMarre Carroll
277,Jeff Teague
278,Al Horford
279,Dennis Schröder
280,Cartier Martin
281,Elton Brand
282,Pero Antić
283,Mike Scott
284,Shelvin Mack
285,Jared Cunningham
286,John Jenkins
287,Monta Ellis
288,José Calderón
289,Dirk Nowitzki
290,Shawn Marion
291,Samuel Dalembert
292,Vince Carter
293,DeJuan Blair
294,Wayne Ellington
295,Jae Crowder
296,Gal Mekel
297,Bernard James
298,Ricky Ledo
299,Kevin Durant
300,Serge Ibaka
301,Reggie Jackson
302,Thabo Sefolosha
303,Kendrick Perkins
304,Steven Adams
305,Jeremy Lamb
306,Derek Fisher
307,Nick Collison
308,Perry Jones
309,Ryan Gomes
310,Andre Roberson
311,Hasheem Thabeet
312,Derrick Favors
313,John Lucas III
314,Enes Freedom
315,Gordon Hayward
316,Richard Jefferson
317,Alec Burks
318,Rudy Gobert
319,Mike Harris
320,Jamaal Tinsley
321,Ian Clark
322,Brandon Rush
323,Marvin Williams
324,Damian Lillard
325,LaMarcus Aldridge
326,Nicolas Batum
327,Robin Lopez
328,Wesley Matthews
329,Mo Williams
330,Dorell Wright
331,Joel Freeland
332,Thomas Robinson
333,Will Barton
334,Victor Claver
335,Allen Crabbe
336,Meyers Leonard
337,Goran Dragić
338,Miles Plumlee
339,Eric Bledsoe
340,P.J. Tucker
341,Channing Frye
342,Marcus Morris
343,Gerald Green
344,Archie Goodwin
345,Alex Len
346,Dionte Christmas
347,Viacheslav Kravtsov
348,Markieff Morris
349,Ish Smith
350,Ty Lawson
351,J.J. Hickson
352,Randy Foye
353,Anthony Randolph
354,JaVale McGee
355,Andre Miller
356,Evan Fournier
357,Timofey Mozgov
358,Darrell Arthur
359,Nate Robinson
360,Kenneth Faried
361,Jordan Hamilton
362,Quincy Miller
363,DeMarcus Cousins
364,Greivis Vásquez
365,Marcus Thornton
366,Patrick Patterson
367,John Salmons
368,Isaiah Thomas
369,Ben McLemore
370,Jason Thompson
371,Chuck Hayes
372,Travis Outlaw
373,Jimmer Fredette
374,Luc Mbah a Moute
375,Hamady N'Diaye
376,Elias Harris
377,Klay Thompson
378,Andre Iguodala
379,David Lee
380,Stephen Curry
381,Andrew Bogut
382,Toney Douglas
383,Jermaine O'Neal
384,Marreese Speights
385,Draymond Green
386,Kent Bazemore
387,Ognjen Kuzmić
388,Nemanja Nedović
389,Harrison Barnes
390,Toure' Murry
391,James Southerland
392,Quincy Acy
393,Andrei Kirilenko
394,Rodney Stuckey
395,Nando De Colo
396,Sergey Karasev
397,Aaron Gray
398,Earl Watson
399,Brandon Jennings
400,Russell Westbrook
401,A.J. Price
402,Ray McCallum
403,Ekpe Udoh
404,Gustavo Ayón
405,Tornike Shengelia
406,Wilson Chandler
407,Lou Amundson
408,Josh Childress
409,Diante Garrett
410,Lou Williams
411,Carrick Felix
412,Chris Smith
413,Ryan Anderson
414,Shane Larkin
415,Dewayne Dedmon
416,Elliot Williams
417,Lorenzo Brown
418,Jeremy Evans
419,Trey Burke
420,Glen Davis
421,Chris Singleton
422,Darius Miller
423,Andris Biedriņš
424,Otto Porter Jr.
425,Kobe Bryant
426,Chris Douglas-Roberts
427,Stephen Jackson
428,Hilton Armstrong
429,Malcolm Thomas
430,Brandan Wright
431,James Johnson
432,Danny Granger
433,Kendall Marshall
434,Alexis Ajinça
435,Isaiah Canaan
436,Seth Curry
437,Arnett Moultrie
438,Maalik Wayns
439,Jeremy Tyler
440,CJ McCollum
441,Leandro Barbosa
442,Chase Budinger
443,James Nunnally
444,Carl Landry
445,Greg Oden
446,Rajon Rondo
447,Royal Ivey
448,Hedo Türkoğlu
449,Manny Harris
450,Chris Johnson
451,Robert Covington
452,Devin Harris
453,Vander Blue
454,Othyus Jeffers
455,Shannon Brown
456,Sasha Vujačić
457,Luke Babbitt
458,Jarvis Varnado
459,Festus Ezeli
460,Dexter Pittman
461,Jason Collins
462,Adonis Thomas
463,Drew Gooden
464,Chris Babb
465,Mike Muscala
466,Shavlik Randolph
467,DeAndre Liggins
468,Troy Daniels
469,Justin Hamilton
470,Reggie Williams
471,Jorge Gutiérrez
472,Shane Edwards
473,Darius Johnson-Odom
474,Chris Wright
475,Mustafa Shakur
476,Royce White
477,D.J. White
478,Jason Richardson
479,Casper Ware
480,D.J. Stephens
481,Scotty Hopson
482,Damion James
483,Willie Reed
484,Danilo Gallinari
485,Melvin Ely
486,Josh Powell
487,Elfrid Payton
488,Aaron Gordon
489,Devyn Marble
490,Kyle Anderson
491,Tarik Black
492,Kostas Papanikolaou
493,Joey Dorsey
494,Jordan Clarkson
495,Julius Randle
496,Jabari Parker
497,P.J. Hairston
498,Nerlens Noel
499,K.J. McDaniels
500,JaKarr Sampson
501,Damjan Rudež
502,Shayne Whittington
503,Lucas Nogueira
504,Shabazz Napier
505,James Ennis III
506,Bojan Bogdanović
507,Cory Jefferson
508,Jerome Jordan
509,Marcus Smart
510,James Young
511,Doug McDermott
512,Nikola Mirotić
513,Cameron Bairstow
514,Cleanthony Early
515,Travis Wear
516,Andrew Wiggins
517,Zach LaVine
518,Glenn Robinson III
519,Jordan Adams
520,Jarnell Stokes
521,Spencer Dinwiddie
522,Jusuf Nurkić
523,Rodney Hood
524,Dante Exum
525,Joe Ingles
526,Tyler Ennis
527,Justin Holiday
528,Nik Stauskas
529,Sebastian Telfair
530,Joe Harris
531,Brendan Haywood
532,Alex Kirk
533,Zoran Dragić
534,Andre Dawkins
535,Nick Johnson
536,Clint Capela
537,Russ Smith
538,Noah Vonleh
539,Patric Young
540,Bruno Caboclo
541,Kalin Lucas
542,Will Cherry
543,Erick Green
544,Dwight Powell
545,T.J. Warren
546,Adreian Payne
547,Drew Gordon
548,Gary Harris
549,Markel Brown
550,Jerami Grant
551,Hassan Whiteside
552,C.J. Wilcox
553,Eric Moreland
554,Grant Jerrett
555,Malcolm Lee
556,Ronald Roberts
557,Damien Inglis
558,Johnny O'Bryant
559,Mitch McGary
560,Furkan Aldemir
561,Patrick Christopher
562,Elijah Millsap
563,Langston Galloway
564,Tyler Johnson
565,Dahntay Jones
566,Larry Drew II
567,JaMychal Green
568,James Michael McAdoo
569,Tyrus Thomas
570,Tim Frazier
571,Joffrey Lauvergne
572,David Stockton
573,Henry Walker
574,Earl Barron
575,Jack Cooley
576,Bryce Cotton
577,Jerrelle Benimon
578,Jarell Eddie
579,Jabari Brown
580,Sean Kilpatrick
581,David Wear
582,Lester Hudson
583,Jerel McNeal
584,Sim Bhullar
585,Sasha Kaun
586,Bobby Portis
587,Stanley Johnson
588,Darrun Hilliard
589,Lamar Patterson
590,Kelly Oubre Jr.
591,Mario Hezonja
592,Jahlil Okafor
593,T.J. McConnell
594,Richaun Holmes
595,Christian Wood
596,Jordan Mickey
597,Terry Rozier
598,Rondae Hollis-Jefferson
599,Raul Neto
600,Trey Lyles
601,Tibor Pleiß
602,Joe Young
603,Myles Turner
604,Norman Powell
605,Delon Wright
606,Frank Kaminsky
607,Aaron Harrison
608,Justise Winslow
609,Kristaps Porziņģis
610,Jerian Grant
611,Rashad Vaughn
612,Emmanuel Mudiay
613,Nikola Jokić
614,Montrezl Harrell
615,Sam Dekker
616,Justin Anderson
617,Salah Mejri
618,Devin Booker
619,Sonny Weems
620,Pat Connaughton
621,Luis Montero
622,Willie Cauley-Stein
623,Karl-Anthony Towns
624,Nemanja Bjelica
625,D'Angelo Russell
626,Marcelo Huertas
627,Anthony Brown
628,Edy Tavares
629,R.J. Hunter
630,Cristiano Felício
631,Boban Marjanović
632,Cameron Payne
633,Josh Richardson
634,Larry Nance Jr.
635,Tyus Jones
636,Duje Dukan
637,Cliff Alexander
638,Jarell Martin
639,Jonathon Simmons
640,Josh Huestis
641,Branden Dawson
642,Rakeem Christmas
643,J.J. O'Brien
644,Keith Appling
645,Bryce Dejean-Jones
646,Kevon Looney
647,Jordan McRae
648,Thanasis Antetokounmpo
649,Chris McCullough
650,Alex Stepheson
651,Justin Harper
652,Axel Toupane
653,Andrew Goudelock
654,Alan Williams
655,Coty Clarke
656,Briante Weber
657,Xavier Munford
658,Willy Hernangómez
659,Mindaugas Kuzminskas
660,Ron Baker
661,Joel Bolomboy
662,Jake Layman
663,Dāvis Bertāns
664,Bryn Forbes
665,Nicolás Laprovíttola
666,Patrick McCaw
667,Nicolás Brussino
668,Dorian Finney-Smith
669,Rodney McGruder
670,Michael Gbinije
671,Henry Ellenson
672,Pascal Siakam
673,Jakob Poeltl
674,Fred VanVleet
675,Isaiah Whitehead
676,Jaylen Brown
677,Demetrius Jackson
678,Treveon Graham
679,Malcolm Brogdon
680,Thon Maker
681,Jamal Murray
682,Juancho Hernangómez
683,Malik Beasley
684,Buddy Hield
685,Cheick Diallo
686,Kris Dunn
687,Andrew Harrison
688,Wade Baldwin
689,Deyonta Davis
690,Troy Williams
691,Domantas Sabonis
692,Semaj Christon
693,Álex Abrines
694,Sergio Rodríguez
695,Dario Šarić
696,Joel Embiid
697,Timothé Luwawu-Cabarrot
698,Malachi Richardson
699,Marquese Chriss
700,Tyler Ulis
701,Dragan Bender
702,Bobby Brown
703,Kyle Wiltjer
704,Brandon Ingram
705,Sheldon Mac
706,Tomáš Satoranský
707,Daniel Ochefu
708,Malcolm Delaney
709,Taurean Prince
710,DeAndre' Bembry
711,Denzel Valentine
712,Paul Zipser
713,Diamond Stone
714,Kay Felder
715,Georges Niang
716,Stephen Zimmerman
717,A.J. Hammons
718,Maurice Ndour
719,Dejounte Murray
720,Skal Labissière
721,Ivica Zubac
722,Danuel House Jr.
